No.,Reach Label,x(km),cond (umhos),ISS (mgD/L),DO(mgO2/L),CBODs (mgO2/L),CBODf (mgO2/L),No(ugN/L),NH4(ugN/L),NO3(ugN/L),Po (ugP/L),Inorg P (ugP/L),Phyto (ugA/L),INp(ugN/L),IPp (ugP/L),Detritus (mgD/L),Pathogen,Alk,i,ii,iii,pH,(mgA/m2),(ugN/mgA),(ugP/mgA),TOC,TN,TP,TKN,(mgD/L),CBODu,NH3,DO sat,pHsat
0,Mainstem headwa,157.44,866.73,33,12.61,0,16.56,1800,110,201,9.97,13.92,26.11,429.84,26.11,10.03,0,230,400,0,0,8.66,0,0,0,11.21,2540.84,50,2339.84,45.64,30.16,26.8,7.7,8.79
0,Mainstem headwa,157.32,866.73,32.8,11.9,0,16.31,1802.55,113.32,189.59,10.21,12.55,26.32,423.51,25.73,9.97,0,230.01,400,0,0,8.64,49.38,9.39,0.43,11.11,2528.97,48.49,2339.38,45.4,29.88,26.83,7.68,8.79
0,Mainstem headwa,157.07,866.73,32.6,11.26,0,16.06,1805.05,116.61,178.81,10.44,11.33,26.54,417.22,25.35,9.92,0,230.03,400,0,0,8.62,49.23,9.29,0.41,11,2517.68,47.13,2338.87,45.17,29.59,26.78,7.67,8.79
0,Mainstem headwa,156.82,866.73,32.4,10.67,0,15.81,1807.47,119.86,168.62,10.67,10.26,26.78,410.98,24.97,9.86,0,230.04,400,0,0,8.6,48.86,9.2,0.39,10.89,2506.93,45.9,2338.31,44.94,29.3,26.66,7.66,8.8
0,Mainstem headwa,156.57,866.73,32.2,10.13,0,15.55,1809.81,123.09,159.01,10.89,9.31,27.03,404.79,24.59,9.81,0,230.05,400,0,0,8.59,48.34,9.11,0.37,10.79,2496.7,44.79,2337.68,44.71,29.01,26.47,7.64,8.8
0,Mainstem headwa,156.32,866.73,32,9.65,0,15.29,1812.07,126.27,149.96,11.1,8.46,27.28,398.65,24.22,9.75,0,230.06,400,0,0,8.57,47.73,9.03,0.35,10.68,2486.95,43.78,2336.99,44.49,28.73,26.21,7.63,8.8
0,Mainstem headwa,156.07,866.73,31.81,9.21,0,15.04,1814.24,129.43,141.43,11.3,7.72,27.53,392.56,23.85,9.7,0,230.08,400,0,0,8.55,47.08,8.96,0.34,10.57,2477.66,42.86,2336.23,44.26,28.44,25.89,7.62,8.8
0,,155.82,870.36,30.78,8.67,0,14.55,1798.62,128.86,136.08,11.37,6.36,27.25,375.55,22.78,9.43,0,232.54,393.2,0,0,8.51,81.88,8.91,0.31,10.27,2439.11,40.51,2303.04,42.93,27.62,23.78,7.63,8.8
0,,155.58,870.36,30.48,8.25,0,14.17,1805.29,129.84,122.37,11.72,5.42,27.72,368.69,22.36,9.41,0,232.55,393.2,0,0,8.48,78.82,8.75,0.28,10.14,2426.2,39.5,2303.83,42.67,27.28,23,7.61,8.8
0,,155.33,870.36,30.19,7.88,0,13.81,1811.49,131.01,109.99,12.03,4.66,28.2,361.9,21.95,9.39,0,232.57,393.2,0,0,8.46,75.32,8.6,0.26,10.02,2414.39,38.64,2304.4,42.4,26.95,22.33,7.6,8.8
0,,155.08,870.36,29.9,7.58,0,13.46,1817.19,132.36,98.86,12.32,4.03,28.68,355.18,21.54,9.37,0,232.58,393.2,0,0,8.43,71.49,8.46,0.24,9.9,2403.6,37.89,2304.73,42.14,26.63,21.77,7.58,8.8
0,,154.84,870.36,29.61,7.31,0,13.12,1822.38,133.87,88.91,12.58,3.52,29.16,348.55,21.14,9.35,0,232.6,393.2,0,0,8.4,67.45,8.33,0.22,9.78,2393.71,37.24,2304.79,41.87,26.31,21.29,7.57,8.8
0,,154.59,870.36,29.32,7.09,0,12.79,1827.05,135.52,80.06,12.81,3.11,29.65,341.99,20.74,9.32,0,232.61,393.2,0,0,8.38,63.23,8.21,0.21,9.67,2384.62,36.67,2304.56,41.61,26.01,20.89,7.56,8.8
0,,154.35,870.36,29.04,6.91,0,12.47,1831.21,137.29,72.2,13.03,2.78,30.14,335.53,20.35,9.29,0,232.62,393.2,0,0,8.36,58.98,8.1,0.2,9.56,2376.23,36.16,2304.03,41.34,25.71,20.53,7.55,8.8
0,,154.1,870.36,28.76,6.75,0,12.17,1834.85,139.16,65.27,13.22,2.51,30.66,329.16,19.97,9.25,0,232.63,393.2,0,0,8.34,54.58,7.99,0.18,9.45,2368.43,35.7,2303.17,41.07,25.42,20.21,7.54,8.8
0,,153.85,870.36,28.48,6.62,0,11.87,1838,141.13,59.17,13.4,2.29,31.19,322.88,19.59,9.2,0,232.64,393.2,0,0,8.33,50.44,7.9,0.17,9.34,2361.17,35.27,2302.01,40.81,25.13,19.91,7.53,8.8
0,,153.61,870.36,28.21,6.52,0,11.59,1840.64,143.15,53.83,13.56,2.11,31.74,316.7,19.21,9.16,0,232.66,393.2,0,0,8.31,45.99,7.79,0.17,9.24,2354.33,34.88,2300.49,40.54,24.85,19.62,7.52,8.8
0,,153.36,870.36,27.94,6.43,0,11.31,1842.77,145.24,49.19,13.71,1.96,32.31,310.62,18.84,9.1,0,232.67,393.2,0,0,8.3,41.49,7.68,0.16,9.14,2347.81,34.51,2298.62,40.27,24.58,19.37,7.51,8.81
0,,153.11,870.36,27.67,6.37,0,11.04,1844.37,147.38,45.18,13.84,1.85,32.9,304.63,18.48,9.05,0,232.67,393.2,0,0,8.29,36.88,7.56,0.15,9.04,2341.56,34.17,2296.38,40,24.32,19.15,7.5,8.81
0,,152.87,870.36,27.4,6.31,0,10.78,1845.48,149.6,41.74,13.96,1.75,33.51,298.74,18.12,8.99,0,232.68,393.2,0,0,8.27,32.43,7.44,0.14,8.94,2335.56,33.83,2293.82,39.74,24.06,18.97,7.5,8.81
0,,152.62,870.36,27.14,6.27,0,10.53,1846.1,151.9,38.81,14.06,1.68,34.13,292.95,17.77,8.92,0,232.69,393.2,0,0,8.26,27.87,7.32,0.14,8.85,2329.76,33.51,2290.95,39.47,23.8,18.85,7.49,8.81
0,,152.38,870.36,26.87,6.24,0,10.29,1846.29,154.31,36.33,14.16,1.62,34.77,287.26,17.42,8.85,0,232.7,393.2,0,0,8.26,23.98,7.23,0.13,8.76,2324.19,33.2,2287.86,39.2,23.56,18.79,7.49,8.81
0,,152.13,870.36,26.62,6.22,0,10.06,1846.07,156.83,34.25,14.24,1.57,35.43,281.66,17.09,8.78,0,232.71,393.2,0,0,8.25,20.04,7.13,0.13,8.67,2318.82,32.9,2284.56,38.94,23.32,18.79,7.48,8.81
0,,151.88,870.36,26.36,6.21,0,9.83,1845.5,159.46,32.52,14.32,1.54,36.1,276.16,16.75,8.7,0,232.71,393.2,0,0,8.24,16.71,7.05,0.13,8.58,2313.65,32.61,2281.13,38.67,23.08,18.85,7.48,8.81
0,,151.64,890.66,26.13,6.25,0,11.17,1907.99,201.54,184.84,13.82,1.48,34.99,264.58,16.04,8.36,0,229.02,382.83,0,0,8.24,11.06,8.35,0.12,8.9,2558.95,31.34,2374.11,37.99,23.93,23.25,7.51,8.8
0,,151.39,890.66,26.05,6.28,0,11.08,1907.6,202.2,179.98,13.84,1.47,35.19,262.9,15.94,8.33,0,229.02,382.83,0,0,8.24,10.36,8.3,0.12,8.86,2552.68,31.26,2372.7,37.91,23.83,23.4,7.51,8.8
0,,151.14,890.66,25.97,6.32,0,10.99,1907.22,202.83,175.25,13.86,1.47,35.39,261.24,15.84,8.31,0,229.02,382.83,0,0,8.24,10.96,8.32,0.12,8.83,2546.54,31.17,2371.29,37.82,23.74,23.55,7.51,8.8
0,,150.89,890.66,25.9,6.35,0,10.91,1906.77,203.52,170.69,13.88,1.47,35.59,259.58,15.74,8.28,0,229.02,382.83,0,0,8.24,8.87,8.19,0.12,8.79,2540.56,31.08,2369.86,37.74,23.65,23.7,7.5,8.8
0,,150.64,890.66,25.82,6.38,0,10.83,1906.32,204.18,166.27,13.9,1.46,35.8,257.93,15.64,8.26,0,229.02,382.83,0,0,8.24,9.06,8.19,0.12,8.76,2534.7,31,2368.43,37.66,23.56,23.86,7.5,8.8
0,,150.39,890.66,25.74,6.4,0,10.74,1905.88,204.82,161.98,13.92,1.46,36,256.29,15.54,8.23,0,229.02,382.83,0,0,8.24,9.5,8.21,0.12,8.73,2528.97,30.91,2366.99,37.57,23.47,24.03,7.5,8.8
0,,150.14,890.66,25.66,6.43,0,10.66,1905.37,205.52,157.85,13.93,1.45,36.2,254.65,15.44,8.21,0,229.03,382.83,0,0,8.24,7.39,8.08,0.12,8.69,2523.39,30.83,2365.54,37.49,23.39,24.2,7.5,8.8
0,,149.9,890.66,25.59,6.45,0,10.58,1904.87,206.19,153.84,13.95,1.45,36.41,253.03,15.34,8.18,0,229.03,382.83,0,0,8.25,7.74,8.09,0.12,8.66,2517.93,30.75,2364.09,37.41,23.3,24.37,7.5,8.8
0,,149.65,890.66,25.51,6.47,0,10.5,1904.39,206.81,149.94,13.97,1.45,36.62,251.42,15.24,8.15,0,229.03,382.83,0,0,8.25,8.76,8.14,0.12,8.63,2512.56,30.66,2362.62,37.33,23.21,24.55,7.49,8.8
0,,149.4,890.66,25.43,6.49,0,10.42,1903.84,207.5,146.19,13.99,1.44,36.83,249.81,15.15,8.13,0,229.03,382.83,0,0,8.25,6.42,7.99,0.12,8.6,2507.34,30.58,2361.15,37.24,23.13,24.73,7.49,8.8
0,,149.15,890.66,25.36,6.51,0,10.34,1903.32,208.13,142.54,14,1.44,37.04,248.22,15.05,8.1,0,229.03,382.83,0,0,8.25,7.72,8.06,0.12,8.57,2502.21,30.49,2359.67,37.16,23.05,24.91,7.49,8.8
0,,148.92,890.71,25.29,6.54,0,10.28,1902.45,208.56,139.96,14.01,1.44,37.18,246.91,14.97,8.08,0,229.08,382.72,0,0,8.25,6.04,7.95,0.12,8.54,2497.88,30.41,2357.92,37.09,22.98,25.08,7.49,8.8
0,,148.71,890.71,25.23,6.56,0,10.22,1902.01,209.05,137.28,14.02,1.43,37.35,245.71,14.9,8.06,0,229.08,382.72,0,0,8.25,5.53,7.91,0.12,8.52,2494.05,30.35,2356.77,37.02,22.91,25.27,7.49,8.8
0,,148.49,890.88,25.17,6.52,0,10.2,1899.81,210.16,137.22,14.01,1.48,37.23,243.84,14.78,8.02,0,229.22,382.34,0,0,8.25,0.12,7.9,0.12,8.49,2491.03,30.27,2353.81,36.92,22.84,25.13,7.49,8.8
0,,148.24,890.88,25.15,6.48,0,10.18,1899.09,211.47,136.58,14.02,1.53,37.18,242.34,14.69,7.99,0,229.23,382.34,0,0,8.25,0.18,7.96,0.12,8.47,2489.48,30.25,2352.9,36.86,22.78,25.06,7.49,8.8
0,,148,890.88,25.12,6.44,0,10.16,1898.37,212.77,135.95,14.03,1.58,37.12,240.85,14.6,7.97,0,229.23,382.34,0,0,8.24,0.27,8.08,0.12,8.45,2487.94,30.22,2351.98,36.8,22.73,24.99,7.49,8.8
0,,147.76,890.88,25.1,6.4,0,10.14,1897.65,214.05,135.34,14.05,1.63,37.06,239.37,14.51,7.94,0,229.23,382.34,0,0,8.24,0.36,8.17,0.13,8.43,2486.4,30.19,2351.06,36.75,22.67,24.91,7.49,8.8
0,,147.51,890.88,25.07,6.36,0,10.12,1896.93,215.33,134.73,14.06,1.68,37,237.89,14.42,7.92,0,229.23,382.34,0,0,8.23,0.45,8.28,0.13,8.41,2484.87,30.16,2350.14,36.69,22.62,24.82,7.49,8.8
0,,147.27,890.88,25.05,6.32,0,10.1,1896.2,216.59,134.13,14.07,1.72,36.94,236.43,14.33,7.89,0,229.23,382.34,0,0,8.23,0.49,8.3,0.13,8.39,2483.35,30.12,2349.22,36.64,22.56,24.73,7.49,8.8
0,,147.03,890.88,25.03,6.29,0,10.07,1895.47,217.84,133.54,14.08,1.77,36.87,234.97,14.24,7.87,0,229.23,382.34,0,0,8.22,0.52,8.29,0.14,8.37,2481.84,30.09,2348.29,36.58,22.51,24.64,7.48,8.8
0,,146.78,890.88,25,6.25,0,10.05,1894.75,219.09,132.96,14.09,1.81,36.81,233.53,14.16,7.84,0,229.24,382.34,0,0,8.22,0.65,8.52,0.14,8.35,2480.33,30.06,2347.36,36.52,22.45,24.55,7.48,8.8
0,,146.54,890.88,24.98,6.21,0,10.03,1894.02,220.32,132.39,14.1,1.85,36.75,232.09,14.07,7.82,0,229.24,382.34,0,0,8.21,0.71,8.57,0.14,8.33,2478.82,30.02,2346.43,36.47,22.4,24.45,7.48,8.8
0,,146.3,890.88,24.95,6.18,0,10.01,1893.29,221.54,131.83,14.11,1.89,36.68,230.66,13.98,7.79,0,229.24,382.34,0,0,8.21,0.77,8.64,0.15,8.3,2477.33,29.99,2345.49,36.41,22.34,24.35,7.48,8.8
0,,146.05,890.88,24.93,6.14,0,9.99,1892.56,222.76,131.28,14.12,1.93,36.62,229.25,13.9,7.77,0,229.24,382.34,0,0,8.2,0.88,8.82,0.15,8.28,2475.83,29.95,2344.56,36.36,22.28,24.26,7.48,8.8
0,,145.81,890.88,24.9,6.11,0,9.97,1891.82,223.96,130.73,14.13,1.97,36.56,227.84,13.81,7.74,0,229.24,382.34,0,0,8.2,0.95,8.92,0.16,8.26,2474.35,29.92,2343.62,36.3,22.23,24.16,7.48,8.8
0,,145.57,890.88,24.88,6.08,0,9.95,1891.09,225.15,130.2,14.14,2.01,36.49,226.44,13.73,7.72,0,229.24,382.34,0,0,8.2,1,8.96,0.16,8.24,2472.87,29.88,2342.67,36.24,22.17,24.06,7.48,8.8
0,,145.32,903.88,24.58,6.09,0,10.3,1860.31,244.84,621.87,13.85,2,35.66,220.29,13.35,7.53,0,226.49,376.32,0,0,8.19,1.1,10.52,0.16,8.27,2947.31,29.21,2325.44,35.68,22.23,25.48,7.5,8.79
0,,145.08,903.88,24.56,6.06,0,10.27,1859.61,245.87,616.62,13.86,2.03,35.61,218.97,13.27,7.5,0,226.49,376.32,0,0,8.19,1.13,10.52,0.16,8.25,2941.07,29.17,2324.45,35.62,22.18,25.34,7.5,8.79
0,,144.84,903.98,24.54,6.03,0,10.26,1859.29,247.03,612.21,13.87,2.07,35.55,217.63,13.19,7.48,0,226.47,376.27,0,0,8.18,1.22,10.64,0.16,8.23,2936.16,29.13,2323.95,35.57,22.13,25.22,7.5,8.79
0,,144.59,903.98,24.51,6,0,10.24,1858.58,248.04,607.06,13.88,2.1,35.5,216.33,13.11,7.46,0,226.47,376.27,0,0,8.18,1.23,10.58,0.16,8.21,2930.01,29.09,2322.95,35.52,22.08,25.1,7.5,8.79
0,,144.33,904.12,24.46,5.96,0,10.21,1856.52,249,601.51,13.87,2.14,35.38,214.56,13.01,7.42,0,226.6,375.96,0,0,8.17,0.76,10.65,0.17,8.18,2921.59,29.01,2320.08,35.42,22,24.89,7.5,8.79
0,,144.04,904.12,24.44,5.92,0,10.18,1855.69,250.18,596.18,13.88,2.17,35.32,213.07,12.91,7.39,0,226.6,375.96,0,0,8.17,0.81,10.71,0.17,8.16,2915.11,28.97,2318.93,35.36,21.94,24.74,7.5,8.79
0,,143.77,904.12,24.41,5.89,0,10.16,1854.99,251.16,591.9,13.89,2.21,35.26,211.84,12.84,7.37,0,226.6,375.96,0,0,8.16,0.7,10.59,0.17,8.14,2909.88,28.93,2317.98,35.31,21.89,24.63,7.5,8.79
0,,143.52,915.47,24.36,5.86,0,10.33,1854.57,250.83,582,13.75,2.21,34.84,211.78,12.63,7.27,0,228.03,373.54,0,0,8.17,0.78,10.72,0.17,8.14,2899.17,28.59,2317.17,35.11,21.9,25.1,7.5,8.79
0,,143.27,915.47,24.34,5.83,0,10.31,1853.88,251.78,577.88,13.75,2.24,34.79,210.57,12.56,7.25,0,228.03,373.54,0,0,8.17,0.81,10.76,0.17,8.12,2894.11,28.55,2316.23,35.06,21.85,24.98,7.5,8.79
0,,143.02,915.47,24.32,5.8,0,10.28,1853.18,252.74,573.81,13.76,2.27,34.74,209.36,12.49,7.23,0,228.03,373.54,0,0,8.16,0.81,10.68,0.17,8.1,2889.09,28.52,2315.28,35.02,21.8,24.88,7.5,8.79
0,,142.77,915.47,24.3,5.78,0,10.26,1852.49,253.68,569.77,13.77,2.3,34.7,208.17,12.42,7.2,0,228.03,373.54,0,0,8.16,0.84,10.75,0.17,8.08,2884.1,28.48,2314.34,34.97,21.75,24.77,7.5,8.79
0,,142.52,915.47,24.28,5.75,0,10.24,1851.79,254.62,565.76,13.78,2.33,34.66,206.98,12.34,7.18,0,228.03,373.54,0,0,8.16,0.87,10.77,0.18,8.07,2879.14,28.45,2313.39,34.93,21.7,24.67,7.5,8.79
0,,142.27,915.47,24.26,5.72,0,10.22,1851.09,255.55,561.78,13.78,2.35,34.62,205.8,12.27,7.16,0,228.03,373.54,0,0,8.15,0.89,10.77,0.18,8.05,2874.22,28.41,2312.44,34.88,21.65,24.57,7.5,8.79
0,,142.02,915.47,24.24,5.7,0,10.2,1850.39,256.47,557.84,13.79,2.38,34.58,204.62,12.2,7.14,0,228.03,373.54,0,0,8.15,0.92,10.79,0.18,8.03,2869.32,28.37,2311.48,34.84,21.6,24.47,7.5,8.79
0,,141.77,915.47,24.22,5.67,0,10.17,1849.69,257.39,553.93,13.8,2.41,34.54,203.45,12.13,7.12,0,228.03,373.54,0,0,8.15,0.94,10.81,0.18,8.01,2864.46,28.34,2310.52,34.79,21.55,24.38,7.5,8.79
0,,141.52,915.47,24.2,5.65,0,10.15,1848.98,258.3,550.06,13.8,2.43,34.5,202.28,12.06,7.1,0,228.03,373.54,0,0,8.14,0.94,10.69,0.18,7.99,2859.62,28.3,2309.56,34.75,21.5,24.29,7.5,8.79
0,,141.27,915.47,24.18,5.63,0,10.13,1848.27,259.21,546.22,13.81,2.46,34.47,201.12,12,7.08,0,228.03,373.54,0,0,8.14,0.97,10.75,0.18,7.98,2854.82,28.26,2308.6,34.7,21.45,24.21,7.5,8.79
0,,141.02,915.47,24.16,5.6,0,10.11,1847.56,260.1,542.41,13.82,2.48,34.43,199.97,11.93,7.06,0,228.03,373.54,0,0,8.13,0.99,10.76,0.18,7.96,2850.04,28.22,2307.64,34.66,21.4,24.12,7.5,8.79
0,,140.77,915.47,24.14,5.58,0,10.09,1846.85,260.99,538.63,13.82,2.5,34.4,198.83,11.86,7.03,0,228.03,373.54,0,0,8.13,1.02,10.77,0.18,7.94,2845.3,28.19,2306.67,34.61,21.36,24.04,7.5,8.79
0,,140.52,915.47,24.12,5.56,0,10.06,1846.14,261.88,534.88,13.83,2.53,34.37,197.69,11.79,7.01,0,228.03,373.54,0,0,8.13,1.04,10.77,0.19,7.92,2840.59,28.15,2305.7,34.57,21.31,23.96,7.5,8.79
0,,140.27,915.47,24.1,5.54,0,10.04,1845.42,262.76,531.17,13.83,2.55,34.33,196.55,11.72,6.99,0,228.03,373.54,0,0,8.12,1.06,10.78,0.19,7.9,2835.9,28.11,2304.73,34.52,21.26,23.88,7.5,8.79
0,,140.02,915.47,24.08,5.52,0,10.02,1844.7,263.63,527.48,13.84,2.57,34.3,195.42,11.66,6.97,0,228.03,373.54,0,0,8.12,1.08,10.78,0.19,7.89,2831.24,28.07,2303.76,34.48,21.21,23.8,7.5,8.79
0,,139.77,915.47,24.06,5.49,0,10,1843.98,264.5,523.83,13.85,2.59,34.27,194.3,11.59,6.95,0,228.04,373.54,0,0,8.12,1.1,10.78,0.19,7.87,2826.61,28.03,2302.78,34.44,21.17,23.73,7.5,8.79
0,,139.52,915.47,24.04,5.47,0,9.98,1843.26,265.36,520.21,13.85,2.61,34.23,193.18,11.52,6.93,0,228.04,373.54,0,0,8.11,1.13,10.78,0.19,7.85,2822.01,27.99,2301.8,34.39,21.12,23.66,7.5,8.79
0,,139.27,915.47,24.02,5.45,0,9.96,1842.54,266.21,516.62,13.86,2.63,34.2,192.07,11.46,6.91,0,228.04,373.54,0,0,8.11,1.15,10.78,0.19,7.83,2817.44,27.95,2300.82,34.35,21.07,23.58,7.5,8.79
0,,139.02,915.47,24,5.43,0,9.93,1841.81,267.06,513.06,13.86,2.65,34.17,190.97,11.39,6.89,0,228.04,373.54,0,0,8.11,1.17,10.77,0.19,7.82,2812.9,27.91,2299.84,34.31,21.02,23.51,7.5,8.79
0,,138.77,915.47,23.98,5.41,0,9.91,1841.09,267.9,509.53,13.87,2.67,34.13,189.87,11.32,6.87,0,228.04,373.54,0,0,8.1,1.18,10.76,0.19,7.8,2808.39,27.87,2298.86,34.26,20.98,23.44,7.5,8.79
0,,138.51,915.47,23.96,5.39,0,9.9,1840.3,268.85,506.82,13.87,2.7,34.06,188.7,11.25,6.85,0,228.04,373.54,0,0,8.1,0.16,10.72,0.19,7.78,2804.67,27.83,2297.85,34.22,20.93,23.33,7.5,8.79
0,,138.23,915.47,23.95,5.36,0,9.88,1839.5,269.79,504.14,13.88,2.73,33.98,187.54,11.19,6.83,0,228.04,373.54,0,0,8.1,0.17,10.74,0.19,7.76,2800.97,27.8,2296.83,34.17,20.88,23.22,7.49,8.79
0,,137.96,915.47,23.93,5.33,0,9.86,1838.71,270.72,501.47,13.88,2.76,33.9,186.39,11.12,6.8,0,228.04,373.54,0,0,8.09,0.17,10.75,0.2,7.74,2797.29,27.76,2295.81,34.12,20.83,23.11,7.49,8.79
0,,137.69,928.29,23.94,5.31,0,10.83,1885.3,298.5,596.97,13.58,2.73,33.09,181.21,10.81,6.63,0,225.23,367.54,0,0,8.09,0.19,11.02,0.2,8,2961.98,27.12,2365.01,33.88,21.53,24.94,7.51,8.79
0,,137.41,936.17,23.94,5.29,0,11.42,1913.64,361.18,654.39,13.4,2.72,32.56,177.66,10.6,6.52,0,223.5,363.85,0,0,8.08,0.21,11.2,0.2,8.16,3106.87,26.71,2452.48,33.72,21.94,29.64,7.53,8.78
0,Algonquin imp,137.15,937.17,23.6,5.22,0,11.35,1896.87,358.3,643.61,13.2,2.73,31.87,172.61,10.27,6.37,0,225.01,360.49,0,0,8.06,0.25,11.25,0.2,8.04,3071.4,26.21,2427.78,33.16,21.63,28.25,7.54,8.79
0,Algonquin imp,136.9,937.17,23.56,5.11,0,11.28,1894.77,359.82,635.39,13.21,2.79,31.69,170.04,10.12,6.32,0,225.01,360.49,0,0,8.05,0.26,11.24,0.2,7.99,3060.01,26.12,2424.63,33.05,21.49,27.55,7.54,8.79
0,Algonquin imp,136.65,937.17,23.52,5,0,11.22,1892.66,361.31,627.28,13.22,2.84,31.51,167.51,9.97,6.27,0,225,360.49,0,0,8.04,0.27,11.24,0.2,7.94,3048.76,26.03,2421.48,32.94,21.36,26.89,7.53,8.79
0,Algonquin imp,136.4,937.17,23.48,4.9,0,11.15,1890.54,362.77,619.29,13.23,2.89,31.33,165.02,9.82,6.23,0,225,360.49,0,0,8.02,0.28,11.21,0.2,7.89,3037.62,25.94,2418.33,32.84,21.22,26.25,7.53,8.79
0,Algonquin imp,136.15,937.17,23.44,4.8,0,11.09,1888.41,364.22,611.41,13.23,2.94,31.16,162.56,9.68,6.18,0,224.99,360.49,0,0,8.01,0.3,11.23,0.2,7.84,3026.6,25.85,2415.19,32.73,21.09,25.64,7.53,8.79
