No.,Label,x(km),Average,Minimum,Maximum
0,Mainstem headwater       ,157.44,27.50,26.08,29.14
0,Mainstem headwater       ,157.32,27.61,25.94,29.24
0,Mainstem headwater       ,157.07,27.72,25.75,29.54
0,Mainstem headwater       ,156.82,27.82,25.61,29.92
0,Mainstem headwater       ,156.57,27.92,25.55,30.24
0,Mainstem headwater       ,156.32,28.01,25.55,30.49
0,Mainstem headwater       ,156.07,28.10,25.59,30.66
0,                         ,155.82,28.07,25.37,30.84
0,                         ,155.58,28.19,25.32,31.13
0,                         ,155.33,28.31,25.29,31.37
0,                         ,155.08,28.41,25.30,31.54
0,                         ,154.84,28.51,25.34,31.65
0,                         ,154.59,28.60,25.40,31.73
0,                         ,154.35,28.68,25.49,31.77
0,                         ,154.10,28.75,25.58,31.80
0,                         ,153.85,28.82,25.68,31.83
0,                         ,153.61,28.88,25.77,31.85
0,                         ,153.36,28.94,25.86,31.88
0,                         ,153.11,28.99,25.93,31.92
0,                         ,152.87,29.03,25.99,31.96
0,                         ,152.62,29.08,26.04,32.01
0,                         ,152.38,29.11,26.08,32.05
0,                         ,152.13,29.15,26.11,32.09
0,                         ,151.88,29.18,26.13,32.13
0,                         ,151.64,28.94,25.96,31.82
0,                         ,151.39,28.96,25.97,31.84
0,                         ,151.14,28.97,25.99,31.86
0,                         ,150.89,28.99,26.00,31.87
0,                         ,150.64,29.00,26.02,31.89
0,                         ,150.39,29.02,26.03,31.90
0,                         ,150.14,29.03,26.05,31.91
0,                         ,149.90,29.05,26.07,31.91
0,                         ,149.65,29.06,26.09,31.92
0,                         ,149.40,29.07,26.10,31.93
0,                         ,149.15,29.09,26.12,31.93
0,                         ,148.92,29.09,26.13,31.93
0,                         ,148.71,29.10,26.14,31.94
0,                         ,148.49,29.09,26.16,31.91
0,                         ,148.24,29.10,26.21,31.87
0,                         ,148.00,29.10,26.27,31.83
0,                         ,147.76,29.11,26.35,31.77
0,                         ,147.51,29.11,26.44,31.69
0,                         ,147.27,29.12,26.53,31.61
0,                         ,147.03,29.12,26.64,31.51
0,                         ,146.78,29.13,26.76,31.41
0,                         ,146.54,29.13,26.88,31.30
0,                         ,146.30,29.13,27.02,31.20
0,                         ,146.05,29.14,27.16,31.10
0,                         ,145.81,29.14,27.30,30.99
0,                         ,145.57,29.15,27.45,30.90
0,                         ,145.32,28.95,27.42,30.57
0,                         ,145.08,28.95,27.57,30.47
0,                         ,144.84,28.96,27.72,30.37
0,                         ,144.59,28.96,27.87,30.26
0,                         ,144.33,28.96,28.03,30.11
0,                         ,144.04,28.96,28.18,29.96
0,                         ,143.77,28.97,28.31,29.83
0,                         ,143.52,28.93,28.39,29.61
0,                         ,143.27,28.93,28.49,29.48
0,                         ,143.02,28.94,28.59,29.37
0,                         ,142.77,28.94,28.68,29.26
0,                         ,142.52,28.95,28.67,29.20
0,                         ,142.27,28.96,28.63,29.31
